Model,RMSE,MAE,MAPE,QLIKE,DirAcc,N,Ticker
HAR,0.12337096,0.03918509,17056546.4943,-2.682945,50.46,1737,SPY
GARCH,0.14071256,0.04453784,17256295.848,-2.403707,2.71,1737,SPY
XGBoost,0.13000166,0.03755297,20593459.1995,-2.682271,32.23,1695,SPY
HAR,0.15022769,0.05927751,6586151.674,-2.11,51.38,1737,QQQ
GARCH,0.16300276,0.06684868,3847459.3006,-1.885258,2.42,1737,QQQ
XGBoost,0.15305026,0.05679013,7591486.1515,-2.141698,42.86,1695,QQQ
HAR,0.23911892,0.1004268,88588164.7729,-1.525127,50.0,1737,AAPL
GARCH,0.25343942,0.11633336,100151444.3792,-1.453161,2.42,1737,AAPL
XGBoost,0.24362524,0.10031565,82144896.1841,-1.535384,25.21,1695,AAPL
HARNet,0.13789696,0.12705848,229328503.8949,-1.892706,49.48,478,SPY
HARNet,0.1147856,0.10405263,323911.8221,-1.848395,49.9,478,QQQ
HARNet,0.1461354,0.1210907,494844681.2472,-1.664138,48.85,478,AAPL
